id,title,issuer_year,use,status,source
A1,"Linee Guida Ponti - Hướng dẫn phân loại, quản lý rủi ro, đánh giá an toàn và quan trắc cầu hiện hữu (Allegato A kèm DM 204/2022)","Bộ Hạ tầng và Giao thông Italia, 2022","CV 2.1, 2.3, 2.4, 2.5, 2.6 - quy phạm bắt buộc, được khai thác nhiều nhất",Đã có,mit.gov.it - tải miễn phí
A2,Decreto Ministeriale số 204 ngày 01/7/2022,"Italia, 2022",Văn bản ban hành Linee Guida Ponti,Đã có,mit.gov.it - miễn phí
A3,Linee Guida Ponti - Appendici ed allegati,"Italia, 2022","Phụ lục bảng biểu, mẫu phiếu",Đã có,mit.gov.it - miễn phí
A4,Istruzioni Operative per la applicazione delle Linee Guida Ponti (bản 2022 và 2025),"ANSFISA, Italia","Hướng dẫn áp dụng, làm rõ các mục khó của quy phạm",Đã có,ansfisa.gov.it - miễn phí
A5,"DMRB CS 470 - Management of sub-standard highway structures, Phụ lục A","National Highways, Anh, Rev 0 (3/2020)","CV 2.1, 2.6 - ba cấp quan trắc, cấu trúc đặc tả quan trắc, gắn ngưỡng với trách nhiệm",Có một phần,"standardsforhighways.co.uk - miễn phí. Bản đang có ghi SUPERSEDED, cần tải lại bản hiện hành trước khi nghiệm thu"
A6,DMRB CS 450 - Inspection of highway structures; CS 451 - Structural review and assessment,"National Highways, Anh","CV 2.1, 2.2 - chế độ kiểm tra định kỳ",Đã có,standardsforhighways.co.uk - miễn phí
A7,FHWA-HIF-22-017 - Specifications for the National Bridge Inventory (SNBI),"FHWA, Hoa Kỳ, 3/2022","CV 2.4 - khuôn mẫu đặc tả trường dữ liệu, mã hóa B.X.Y, thuộc tính tần suất cập nhật",Đã có,fhwa.dot.gov - miễn phí
A8,"FHWA-HRT-16-007 - LTBP Program Protocols, Version 1","FHWA, Hoa Kỳ, 2016","CV 2.4, 5.2 - hệ giao thức thu thập dữ liệu, siêu dữ liệu bắt buộc",Đã có,fhwa.dot.gov - miễn phí
A9,FHWA-NHI-23-024 - Bridge Inspector Reference Manual (BIRM) 2023,"FHWA, Hoa Kỳ, 2023","CV 2.2, 5.1 - sổ tay kiểm tra cầu",Có một phần,"Bản đang có là bản quét, không trích xuất được nội dung tự động. Nên tải lại bản số hóa tại fhwa.dot.gov"
A10,COST Action TU1406 - BridgeSpec: Quality specifications for roadway bridges,"Mạng lưới COST châu Âu, 2016-2019",CV 2.1 - bộ chỉ số hiệu năng cầu tổng hợp từ 31 quốc gia; khung kiểm soát chất lượng,Chưa có,"cost.eu/actions/TU1406 (trang tổng quan miễn phí); các báo cáo nhóm công tác đăng trên ResearchGate, cần tài khoản hoặc xin trực tiếp tác giả"
A11,AASHTO Manual for Bridge Evaluation (MBE),"AASHTO, Hoa Kỳ","CV 2.6, 3.7 - đánh giá năng lực chịu tải, cơ sở cho ngưỡng lớp 1",Chưa có,Mua tại store.transportation.org. Ước tính khoảng 350-450 USD
A12,AASHTO Manual for Bridge Element Inspection (MBEI),"AASHTO, Hoa Kỳ","CV 2.4 - phân rã cấu kiện và mã hóa phần tử, đối chiếu với quy tắc định danh",Chưa có,Mua tại store.transportation.org. Ước tính khoảng 180-250 USD
A13,JTG/T H21 - Tiêu chuẩn đánh giá tình trạng kỹ thuật cầu đường bộ,Trung Quốc,CV 2.1 - khuôn mẫu chấm điểm tình trạng cầu ở nước có điều kiện gần Việt Nam,Chưa có,Mua bản dịch tiếng Anh tại codeofchina.com. Ước tính 80-200 USD
A14,Hướng dẫn kiểm tra định kỳ cầu đường bộ (道路橋定期点検要領),"Bộ Đất đai, Hạ tầng, Giao thông và Du lịch Nhật Bản","CV 2.1, 2.2 - chế độ kiểm tra bắt buộc chu kỳ 5 năm cho mạng lưới cầu già hóa",Chưa có,"mlit.go.jp - tải miễn phí, bản tiếng Nhật; cần dịch"
A15,Hướng dẫn kiểm tra an toàn và chẩn đoán an toàn chi tiết công trình,"KISTEC, Hàn Quốc","CV 2.1, 5.1 - phân cấp công trình và chu kỳ kiểm định theo luật",Chưa có,"kistec.or.kr - phần lớn miễn phí, bản tiếng Hàn; cần dịch"
B1,"SAMCO Final Report 2006, F08b - Guideline for Structural Health Monitoring","Viện BAM (Đức) chủ trì, mạng lưới SAMCO, 2006","CV 2.5, 2.6 - bốn mức nhận dạng hư hỏng, bảy nhóm phương pháp, ngưỡng theo tiêu chuẩn và theo khảo sát",Đã có,samco.org - miễn phí
B2,SAMCO F08a - Assessment of Existing Structures; F02 - Monitoring Glossary; F05 - Structural Control; F10 - Teaching Materials,"Mạng lưới SAMCO, 2006","CV 2.4 (thống nhất thuật ngữ), CV 5.1",Đã có,samco.org - miễn phí
B3,"Guidelines for Structural Health Monitoring, bản v0","Hội SHM Ấn Độ (ISHMS), 6/2024",CV 2.1 - tiêu chí công trình bắt buộc lắp SHM theo loại và khẩu độ; chế độ báo cáo,Đã có,ishms.in - miễn phí
B4,"Bhalla S., Kaur N., Gogna R. - Guidelines for Structural Health Monitoring, Current Trends in Civil and Structural Engineering 11(4)",2025,Bản công bố tóm tắt của hướng dẫn ISHMS,Đã có,"Tạp chí truy cập mở, giấy phép CC BY 4.0"
B5,FHWA-HRT-09-040 - State of the Practice and Art for SHM of Bridge Substructures,"FHWA, Hoa Kỳ, 2009","CV 2.2 - quan trắc kết cấu phần dưới, xói trụ",Có một phần,Bản đang có là bản quét. Tải lại bản số hóa tại fhwa.dot.gov
